2018-04-11 14:52:15,506 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_2/model_epoch49.ckpt
2018-04-11 14:52:24,725 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.9719691872596741
2018-04-11 14:52:26,973 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.9589381814002991
2018-04-11 14:52:29,220 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.9467229843139648
2018-04-11 14:52:31,458 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.9765297174453735
2018-04-11 14:52:33,709 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.9288034439086914
2018-04-11 14:52:35,946 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.9492307305335999
2018-04-11 14:52:38,199 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.9115173816680908
2018-04-11 14:52:40,450 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.9465436339378357
2018-04-11 14:52:42,689 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.9413174986839294
2018-04-11 14:52:44,944 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.9104159474372864
2018-04-11 14:52:47,183 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.9334367513656616
2018-04-11 14:52:49,439 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.9650048017501831
2018-04-11 14:52:51,686 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.8951882719993591
2018-04-11 14:52:53,942 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.8834600448608398
2018-04-11 14:52:56,224 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.9134073853492737
2018-04-11 14:52:58,479 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.9184367656707764
2018-04-11 14:53:00,728 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.9340452551841736
2018-04-11 14:53:02,981 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.9246070384979248
2018-04-11 14:53:05,235 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.9164677858352661
2018-04-11 14:53:07,485 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 0.9424865245819092
2018-04-11 14:53:09,746 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 0.9328965544700623
2018-04-11 14:53:12,001 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 0.9307944774627686
2018-04-11 14:53:14,265 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 0.9383445978164673
