2018-04-14 11:11:17,403 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_2/model_epoch24.ckpt
2018-04-14 11:14:32,586 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_2/model_epoch49.ckpt
2018-04-14 11:17:09,427 INFO Train Epoch 0, Batch 56000 - 57000: RMSE = 1.3343846797943115
2018-04-14 11:17:12,084 INFO Train Epoch 0, Batch 57000 - 58000: RMSE = 1.2439762353897095
2018-04-14 11:17:14,731 INFO Train Epoch 0, Batch 58000 - 59000: RMSE = 1.1777606010437012
2018-04-14 11:17:17,382 INFO Train Epoch 0, Batch 59000 - 60000: RMSE = 1.293630599975586
2018-04-14 11:17:20,035 INFO Train Epoch 0, Batch 60000 - 61000: RMSE = 1.1829105615615845
2018-04-14 11:17:22,678 INFO Train Epoch 0, Batch 61000 - 62000: RMSE = 1.2923271656036377
2018-04-14 11:17:25,339 INFO Train Epoch 0, Batch 62000 - 63000: RMSE = 1.2389880418777466
2018-04-14 11:17:28,007 INFO Train Epoch 0, Batch 63000 - 64000: RMSE = 1.2084522247314453
2018-04-14 11:17:30,645 INFO Train Epoch 0, Batch 64000 - 65000: RMSE = 1.223512887954712
2018-04-14 11:17:33,303 INFO Train Epoch 0, Batch 65000 - 66000: RMSE = 1.1905430555343628
2018-04-14 11:17:35,945 INFO Train Epoch 0, Batch 66000 - 67000: RMSE = 1.1943600177764893
2018-04-14 11:17:38,606 INFO Train Epoch 0, Batch 67000 - 68000: RMSE = 1.158758521080017
2018-04-14 11:17:41,270 INFO Train Epoch 0, Batch 68000 - 69000: RMSE = 1.1654797792434692
2018-04-14 11:17:43,920 INFO Train Epoch 0, Batch 69000 - 70000: RMSE = 1.3424146175384521
2018-04-14 11:17:46,550 INFO Train Epoch 0, Batch 70000 - 71000: RMSE = 1.231558918952942
2018-04-14 11:17:49,215 INFO Train Epoch 0, Batch 71000 - 72000: RMSE = 1.2111740112304688
2018-04-14 11:17:51,869 INFO Train Epoch 0, Batch 72000 - 73000: RMSE = 1.2258212566375732
2018-04-14 11:17:54,539 INFO Train Epoch 0, Batch 73000 - 74000: RMSE = 1.2125489711761475
2018-04-14 11:17:57,187 INFO Train Epoch 0, Batch 74000 - 75000: RMSE = 1.2158068418502808
2018-04-14 11:17:59,847 INFO Train Epoch 0, Batch 75000 - 76000: RMSE = 1.1567410230636597
2018-04-14 11:18:02,483 INFO Train Epoch 0, Batch 76000 - 77000: RMSE = 1.093727707862854
2018-04-14 11:18:05,140 INFO Train Epoch 0, Batch 77000 - 78000: RMSE = 1.093920350074768
2018-04-14 11:18:07,807 INFO Train Epoch 0, Batch 78000 - 79000: RMSE = 1.0619741678237915
2018-04-14 11:18:10,459 INFO Train Epoch 0, Batch 79000 - 80000: RMSE = 1.232899785041809
2018-04-14 11:18:13,127 INFO Train Epoch 0, Batch 80000 - 81000: RMSE = 1.4592927694320679
2018-04-14 11:18:15,806 INFO Train Epoch 0, Batch 81000 - 82000: RMSE = 1.2157703638076782
2018-04-14 11:18:18,469 INFO Train Epoch 0, Batch 82000 - 83000: RMSE = 1.124749779701233
2018-04-14 11:18:21,143 INFO Train Epoch 0, Batch 83000 - 84000: RMSE = 1.2287482023239136
2018-04-14 11:18:23,825 INFO Train Epoch 0, Batch 84000 - 85000: RMSE = 1.0972826480865479
2018-04-14 11:18:26,489 INFO Train Epoch 0, Batch 85000 - 86000: RMSE = 1.2150400876998901
2018-04-14 11:18:29,121 INFO Train Epoch 0, Batch 86000 - 87000: RMSE = 1.1309069395065308
2018-04-14 11:18:31,785 INFO Train Epoch 0, Batch 87000 - 88000: RMSE = 1.1210397481918335
2018-04-14 11:18:34,433 INFO Train Epoch 0, Batch 88000 - 89000: RMSE = 1.1202813386917114
2018-04-14 11:18:37,104 INFO Train Epoch 0, Batch 89000 - 90000: RMSE = 1.109687089920044
2018-04-14 11:18:39,763 INFO Train Epoch 0, Batch 90000 - 91000: RMSE = 1.1770049333572388
2018-04-14 11:18:42,424 INFO Train Epoch 0, Batch 91000 - 92000: RMSE = 1.0743483304977417
2018-04-14 11:18:45,090 INFO Train Epoch 0, Batch 92000 - 93000: RMSE = 1.178127646446228
2018-04-14 11:18:47,730 INFO Train Epoch 0, Batch 93000 - 94000: RMSE = 1.1631547212600708
2018-04-14 11:18:50,372 INFO Train Epoch 0, Batch 94000 - 95000: RMSE = 1.1914242506027222
2018-04-14 11:18:53,035 INFO Train Epoch 0, Batch 95000 - 96000: RMSE = 1.0446091890335083
2018-04-14 11:18:55,686 INFO Train Epoch 0, Batch 96000 - 97000: RMSE = 1.173472285270691
2018-04-14 11:18:58,362 INFO Train Epoch 0, Batch 97000 - 98000: RMSE = 1.0471031665802002
2018-04-14 11:19:01,023 INFO Train Epoch 0, Batch 98000 - 99000: RMSE = 1.131112813949585
2018-04-14 11:19:03,677 INFO Train Epoch 0, Batch 99000 - 100000: RMSE = 1.1039358377456665
2018-04-14 11:19:06,325 INFO Train Epoch 0, Batch 100000 - 101000: RMSE = 1.071277141571045
2018-04-14 11:19:08,990 INFO Train Epoch 0, Batch 101000 - 102000: RMSE = 1.0781289339065552
2018-04-14 11:19:11,654 INFO Train Epoch 0, Batch 102000 - 103000: RMSE = 1.0868279933929443
2018-04-14 11:19:14,326 INFO Train Epoch 0, Batch 103000 - 104000: RMSE = 1.040905237197876
2018-04-14 11:19:16,976 INFO Train Epoch 0, Batch 104000 - 105000: RMSE = 1.0996026992797852
2018-04-14 11:19:19,645 INFO Train Epoch 0, Batch 105000 - 106000: RMSE = 1.0823562145233154
2018-04-14 11:19:22,316 INFO Train Epoch 0, Batch 106000 - 107000: RMSE = 1.0501322746276855
2018-04-14 11:19:24,975 INFO Train Epoch 0, Batch 107000 - 108000: RMSE = 1.021162509918213
2018-04-14 11:19:27,649 INFO Train Epoch 0, Batch 108000 - 109000: RMSE = 1.0678269863128662
2018-04-14 11:19:30,327 INFO Train Epoch 0, Batch 109000 - 110000: RMSE = 1.100403070449829
2018-04-14 11:19:33,001 INFO Train Epoch 0, Batch 110000 - 111000: RMSE = 1.1007866859436035
2018-04-14 11:19:35,656 INFO Train Epoch 0, Batch 111000 - 112000: RMSE = 1.1015433073043823
2018-04-14 11:19:38,306 INFO Train Epoch 0, Batch 112000 - 113000: RMSE = 1.1087194681167603
2018-04-14 11:19:40,959 INFO Train Epoch 0, Batch 113000 - 114000: RMSE = 1.1332265138626099
2018-04-14 11:19:43,615 INFO Train Epoch 0, Batch 114000 - 115000: RMSE = 1.1534768342971802
2018-04-14 11:19:46,270 INFO Train Epoch 0, Batch 115000 - 116000: RMSE = 1.1108821630477905
2018-04-14 11:19:48,938 INFO Train Epoch 0, Batch 116000 - 117000: RMSE = 1.149495005607605
2018-04-14 11:19:51,609 INFO Train Epoch 0, Batch 117000 - 118000: RMSE = 1.05818772315979
2018-04-14 11:19:54,277 INFO Train Epoch 0, Batch 118000 - 119000: RMSE = 1.103695034980774
2018-04-14 11:19:56,905 INFO Train Epoch 0, Batch 119000 - 120000: RMSE = 1.1159591674804688
2018-04-14 11:19:59,565 INFO Train Epoch 0, Batch 120000 - 121000: RMSE = 1.108248233795166
2018-04-14 11:20:02,232 INFO Train Epoch 0, Batch 121000 - 122000: RMSE = 1.0594203472137451
2018-04-14 11:20:03,960 INFO Train Epoch 0, Batch 122000 - 122358: RMSE = 1.1253678798675537
2018-04-14 11:20:09,027 INFO Eval Epoch 0, Batch 0 - 1000: RMSE = 1.1121520040345767
2018-04-14 11:20:11,669 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 1.1216363906860352
2018-04-14 11:20:14,317 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 1.0474876165390015
2018-04-14 11:20:16,962 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 1.0282028913497925
2018-04-14 11:20:19,626 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 1.0694870948791504
2018-04-14 11:20:22,289 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 1.0284067392349243
2018-04-14 11:20:24,935 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 1.0309066772460938
2018-04-14 11:20:27,575 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.9535213708877563
2018-04-14 11:20:30,239 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 1.066283106803894
2018-04-14 11:20:32,889 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 1.0557187795639038
2018-04-14 11:20:35,547 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 1.0084824562072754
2018-04-14 11:20:38,213 INFO Train Epoch 1, Batch 10000 - 11000: RMSE = 1.0010205507278442
2018-04-14 11:20:40,880 INFO Train Epoch 1, Batch 11000 - 12000: RMSE = 1.0738309621810913
2018-04-14 11:20:43,543 INFO Train Epoch 1, Batch 12000 - 13000: RMSE = 0.9861619472503662
2018-04-14 11:20:46,195 INFO Train Epoch 1, Batch 13000 - 14000: RMSE = 0.997960090637207
2018-04-14 11:20:48,842 INFO Train Epoch 1, Batch 14000 - 15000: RMSE = 0.9994122982025146
2018-04-14 11:20:51,487 INFO Train Epoch 1, Batch 15000 - 16000: RMSE = 1.075358510017395
2018-04-14 11:20:54,150 INFO Train Epoch 1, Batch 16000 - 17000: RMSE = 1.0953398942947388
2018-04-14 11:20:56,802 INFO Train Epoch 1, Batch 17000 - 18000: RMSE = 1.033214807510376
2018-04-14 11:20:59,439 INFO Train Epoch 1, Batch 18000 - 19000: RMSE = 1.0622506141662598
2018-04-14 11:21:02,075 INFO Train Epoch 1, Batch 19000 - 20000: RMSE = 1.0563476085662842
