2018-04-11 14:31:27,122 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1/model_epoch49.ckpt
2018-04-11 14:34:07,723 INFO Train Epoch 0, Batch 58000 - 59000: RMSE = 1.099714994430542
2018-04-11 14:34:10,349 INFO Train Epoch 0, Batch 59000 - 60000: RMSE = 1.0984395742416382
2018-04-11 14:34:12,962 INFO Train Epoch 0, Batch 60000 - 61000: RMSE = 1.1561776399612427
2018-04-11 14:34:15,587 INFO Train Epoch 0, Batch 61000 - 62000: RMSE = 1.1350644826889038
2018-04-11 14:34:18,206 INFO Train Epoch 0, Batch 62000 - 63000: RMSE = 1.1154288053512573
2018-04-11 14:34:20,816 INFO Train Epoch 0, Batch 63000 - 64000: RMSE = 1.1716669797897339
2018-04-11 14:34:23,430 INFO Train Epoch 0, Batch 64000 - 65000: RMSE = 1.1658350229263306
2018-04-11 14:34:26,064 INFO Train Epoch 0, Batch 65000 - 66000: RMSE = 1.1151409149169922
2018-04-11 14:34:28,686 INFO Train Epoch 0, Batch 66000 - 67000: RMSE = 1.1528534889221191
2018-04-11 14:34:31,321 INFO Train Epoch 0, Batch 67000 - 68000: RMSE = 1.1237865686416626
2018-04-11 14:34:33,923 INFO Train Epoch 0, Batch 68000 - 69000: RMSE = 1.1243833303451538
2018-04-11 14:34:36,547 INFO Train Epoch 0, Batch 69000 - 70000: RMSE = 1.126132607460022
2018-04-11 14:34:39,171 INFO Train Epoch 0, Batch 70000 - 71000: RMSE = 1.1814173460006714
2018-04-11 14:34:41,791 INFO Train Epoch 0, Batch 71000 - 72000: RMSE = 1.0936535596847534
2018-04-11 14:34:44,413 INFO Train Epoch 0, Batch 72000 - 73000: RMSE = 1.1587605476379395
2018-04-11 14:34:47,043 INFO Train Epoch 0, Batch 73000 - 74000: RMSE = 1.1696957349777222
2018-04-11 14:34:49,647 INFO Train Epoch 0, Batch 74000 - 75000: RMSE = 1.16015625
2018-04-11 14:34:52,287 INFO Train Epoch 0, Batch 75000 - 76000: RMSE = 1.1377164125442505
2018-04-11 14:34:54,915 INFO Train Epoch 0, Batch 76000 - 77000: RMSE = 1.067325234413147
2018-04-11 14:34:57,534 INFO Train Epoch 0, Batch 77000 - 78000: RMSE = 1.078757882118225
2018-04-11 14:35:00,165 INFO Train Epoch 0, Batch 78000 - 79000: RMSE = 1.0547229051589966
2018-04-11 14:35:02,811 INFO Train Epoch 0, Batch 79000 - 80000: RMSE = 1.0590839385986328
2018-04-11 14:35:05,430 INFO Train Epoch 0, Batch 80000 - 81000: RMSE = 1.083341121673584
2018-04-11 14:35:08,040 INFO Train Epoch 0, Batch 81000 - 82000: RMSE = 1.0392746925354004
2018-04-11 14:35:10,674 INFO Train Epoch 0, Batch 82000 - 83000: RMSE = 1.059448480606079
2018-04-11 14:35:13,305 INFO Train Epoch 0, Batch 83000 - 84000: RMSE = 1.0646430253982544
2018-04-11 14:35:15,932 INFO Train Epoch 0, Batch 84000 - 85000: RMSE = 1.0588310956954956
2018-04-11 14:35:18,561 INFO Train Epoch 0, Batch 85000 - 86000: RMSE = 1.0607303380966187
2018-04-11 14:35:21,188 INFO Train Epoch 0, Batch 86000 - 87000: RMSE = 1.047798991203308
2018-04-11 14:35:23,816 INFO Train Epoch 0, Batch 87000 - 88000: RMSE = 1.0655207633972168
2018-04-11 14:35:26,445 INFO Train Epoch 0, Batch 88000 - 89000: RMSE = 1.0383844375610352
2018-04-11 14:35:29,084 INFO Train Epoch 0, Batch 89000 - 90000: RMSE = 1.0458061695098877
2018-04-11 14:35:31,706 INFO Train Epoch 0, Batch 90000 - 91000: RMSE = 1.0820903778076172
2018-04-11 14:35:34,332 INFO Train Epoch 0, Batch 91000 - 92000: RMSE = 1.031822681427002
2018-04-11 14:35:36,959 INFO Train Epoch 0, Batch 92000 - 93000: RMSE = 1.0540186166763306
2018-04-11 14:35:39,579 INFO Train Epoch 0, Batch 93000 - 94000: RMSE = 1.0739521980285645
2018-04-11 14:35:42,204 INFO Train Epoch 0, Batch 94000 - 95000: RMSE = 1.076765537261963
2018-04-11 14:35:44,831 INFO Train Epoch 0, Batch 95000 - 96000: RMSE = 1.0028775930404663
2018-04-11 14:35:47,448 INFO Train Epoch 0, Batch 96000 - 97000: RMSE = 1.0432627201080322
2018-04-11 14:35:50,074 INFO Train Epoch 0, Batch 97000 - 98000: RMSE = 1.044715166091919
2018-04-11 14:35:52,695 INFO Train Epoch 0, Batch 98000 - 99000: RMSE = 1.0347059965133667
2018-04-11 14:35:55,312 INFO Train Epoch 0, Batch 99000 - 100000: RMSE = 1.0677154064178467
2018-04-11 14:35:57,941 INFO Train Epoch 0, Batch 100000 - 101000: RMSE = 1.0304148197174072
2018-04-11 14:36:00,578 INFO Train Epoch 0, Batch 101000 - 102000: RMSE = 1.0394662618637085
2018-04-11 14:36:03,200 INFO Train Epoch 0, Batch 102000 - 103000: RMSE = 1.0551865100860596
2018-04-11 14:36:05,825 INFO Train Epoch 0, Batch 103000 - 104000: RMSE = 1.0228978395462036
2018-04-11 14:36:08,459 INFO Train Epoch 0, Batch 104000 - 105000: RMSE = 1.063546061515808
2018-04-11 14:36:11,079 INFO Train Epoch 0, Batch 105000 - 106000: RMSE = 1.0753147602081299
2018-04-11 14:36:13,701 INFO Train Epoch 0, Batch 106000 - 107000: RMSE = 1.0520167350769043
2018-04-11 14:36:16,338 INFO Train Epoch 0, Batch 107000 - 108000: RMSE = 1.0047427415847778
2018-04-11 14:36:18,947 INFO Train Epoch 0, Batch 108000 - 109000: RMSE = 1.0388716459274292
2018-04-11 14:36:21,581 INFO Train Epoch 0, Batch 109000 - 110000: RMSE = 1.0413461923599243
2018-04-11 14:36:24,215 INFO Train Epoch 0, Batch 110000 - 111000: RMSE = 1.0480713844299316
2018-04-11 14:36:26,839 INFO Train Epoch 0, Batch 111000 - 112000: RMSE = 1.0662522315979004
2018-04-11 14:36:29,464 INFO Train Epoch 0, Batch 112000 - 113000: RMSE = 1.0591367483139038
2018-04-11 14:36:32,095 INFO Train Epoch 0, Batch 113000 - 114000: RMSE = 1.0588722229003906
2018-04-11 14:36:34,716 INFO Train Epoch 0, Batch 114000 - 115000: RMSE = 1.0756583213806152
2018-04-11 14:36:37,341 INFO Train Epoch 0, Batch 115000 - 116000: RMSE = 1.0450795888900757
2018-04-11 14:36:39,964 INFO Train Epoch 0, Batch 116000 - 117000: RMSE = 1.0425243377685547
2018-04-11 14:36:42,607 INFO Train Epoch 0, Batch 117000 - 118000: RMSE = 1.009299397468567
2018-04-11 14:36:45,237 INFO Train Epoch 0, Batch 118000 - 119000: RMSE = 1.0349725484848022
2018-04-11 14:36:47,868 INFO Train Epoch 0, Batch 119000 - 120000: RMSE = 1.0539395809173584
2018-04-11 14:36:50,498 INFO Train Epoch 0, Batch 120000 - 121000: RMSE = 1.0777504444122314
2018-04-11 14:36:53,120 INFO Train Epoch 0, Batch 121000 - 122000: RMSE = 1.0136908292770386
2018-04-11 14:36:54,814 INFO Train Epoch 0, Batch 122000 - 122358: RMSE = 1.0705336332321167
2018-04-11 14:36:59,955 INFO Eval Epoch 0, Batch 0 - 1000: RMSE = 1.0716805239938871
2018-04-11 14:37:02,624 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 1.0530471801757812
2018-04-11 14:37:05,243 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 1.04464590549469
2018-04-11 14:37:07,845 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 1.0366708040237427
2018-04-11 14:37:10,462 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 1.0522477626800537
2018-04-11 14:37:13,090 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 1.031282663345337
2018-04-11 14:37:15,713 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 1.0403547286987305
2018-04-11 14:37:18,341 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.9782569408416748
2018-04-11 14:37:20,944 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 1.0677570104599
2018-04-11 14:37:23,573 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 1.0309569835662842
2018-04-11 14:37:26,195 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 1.010683536529541
2018-04-11 14:37:28,810 INFO Train Epoch 1, Batch 10000 - 11000: RMSE = 1.0153717994689941
2018-04-11 14:37:31,435 INFO Train Epoch 1, Batch 11000 - 12000: RMSE = 1.0621588230133057
2018-04-11 14:37:34,052 INFO Train Epoch 1, Batch 12000 - 13000: RMSE = 0.9747869372367859
2018-04-11 14:37:36,656 INFO Train Epoch 1, Batch 13000 - 14000: RMSE = 0.9783408045768738
2018-04-11 14:37:39,263 INFO Train Epoch 1, Batch 14000 - 15000: RMSE = 1.0173273086547852
2018-04-11 14:37:41,889 INFO Train Epoch 1, Batch 15000 - 16000: RMSE = 1.008562445640564
2018-04-11 14:37:44,527 INFO Train Epoch 1, Batch 16000 - 17000: RMSE = 1.0179686546325684
2018-04-11 14:37:47,153 INFO Train Epoch 1, Batch 17000 - 18000: RMSE = 1.03434419631958
2018-04-11 14:37:49,785 INFO Train Epoch 1, Batch 18000 - 19000: RMSE = 1.009307622909546
2018-04-11 14:37:52,419 INFO Train Epoch 1, Batch 19000 - 20000: RMSE = 1.04092276096344
2018-04-11 14:37:55,045 INFO Train Epoch 1, Batch 20000 - 21000: RMSE = 1.0454881191253662
2018-04-11 14:37:57,687 INFO Train Epoch 1, Batch 21000 - 22000: RMSE = 1.0390995740890503
2018-04-11 14:38:00,299 INFO Train Epoch 1, Batch 22000 - 23000: RMSE = 1.024830937385559
2018-04-11 14:38:02,934 INFO Train Epoch 1, Batch 23000 - 24000: RMSE = 1.0313221216201782
2018-04-11 14:38:05,559 INFO Train Epoch 1, Batch 24000 - 25000: RMSE = 1.0356756448745728
2018-04-11 14:38:08,176 INFO Train Epoch 1, Batch 25000 - 26000: RMSE = 1.0032130479812622
2018-04-11 14:38:10,812 INFO Train Epoch 1, Batch 26000 - 27000: RMSE = 1.0092122554779053
2018-04-11 14:38:13,452 INFO Train Epoch 1, Batch 27000 - 28000: RMSE = 1.0260663032531738
2018-04-11 14:38:16,080 INFO Train Epoch 1, Batch 28000 - 29000: RMSE = 0.9998221397399902
2018-04-11 14:38:18,695 INFO Train Epoch 1, Batch 29000 - 30000: RMSE = 1.045365810394287
2018-04-11 14:38:21,330 INFO Train Epoch 1, Batch 30000 - 31000: RMSE = 1.0561935901641846
2018-04-11 14:38:23,942 INFO Train Epoch 1, Batch 31000 - 32000: RMSE = 0.9939358234405518
2018-04-11 14:38:26,563 INFO Train Epoch 1, Batch 32000 - 33000: RMSE = 0.9952643513679504
2018-04-11 14:38:29,193 INFO Train Epoch 1, Batch 33000 - 34000: RMSE = 1.058905839920044
2018-04-11 14:38:31,837 INFO Train Epoch 1, Batch 34000 - 35000: RMSE = 1.0547113418579102
2018-04-11 14:38:34,465 INFO Train Epoch 1, Batch 35000 - 36000: RMSE = 1.0894756317138672
2018-04-11 14:38:37,093 INFO Train Epoch 1, Batch 36000 - 37000: RMSE = 1.0315279960632324
2018-04-11 14:38:39,726 INFO Train Epoch 1, Batch 37000 - 38000: RMSE = 1.047430396080017
2018-04-11 14:38:42,352 INFO Train Epoch 1, Batch 38000 - 39000: RMSE = 1.0636640787124634
2018-04-11 14:38:44,971 INFO Train Epoch 1, Batch 39000 - 40000: RMSE = 1.0933585166931152
2018-04-11 14:38:47,604 INFO Train Epoch 1, Batch 40000 - 41000: RMSE = 1.0910918712615967
2018-04-11 14:38:50,232 INFO Train Epoch 1, Batch 41000 - 42000: RMSE = 1.083328127861023
2018-04-11 14:38:52,864 INFO Train Epoch 1, Batch 42000 - 43000: RMSE = 1.0779895782470703
2018-04-11 14:38:55,486 INFO Train Epoch 1, Batch 43000 - 44000: RMSE = 1.0763188600540161
2018-04-11 14:38:58,104 INFO Train Epoch 1, Batch 44000 - 45000: RMSE = 1.074851393699646
2018-04-11 14:39:00,728 INFO Train Epoch 1, Batch 45000 - 46000: RMSE = 1.0505810976028442
2018-04-11 14:39:03,359 INFO Train Epoch 1, Batch 46000 - 47000: RMSE = 1.0582325458526611
2018-04-11 14:39:05,975 INFO Train Epoch 1, Batch 47000 - 48000: RMSE = 1.029587984085083
2018-04-11 14:39:08,607 INFO Train Epoch 1, Batch 48000 - 49000: RMSE = 1.0414296388626099
2018-04-11 14:39:11,236 INFO Train Epoch 1, Batch 49000 - 50000: RMSE = 1.0714436769485474
2018-04-11 14:39:13,859 INFO Train Epoch 1, Batch 50000 - 51000: RMSE = 1.0761750936508179
2018-04-11 14:39:16,483 INFO Train Epoch 1, Batch 51000 - 52000: RMSE = 1.1001487970352173
2018-04-11 14:39:19,120 INFO Train Epoch 1, Batch 52000 - 53000: RMSE = 1.0575288534164429
2018-04-11 14:39:21,732 INFO Train Epoch 1, Batch 53000 - 54000: RMSE = 1.0815469026565552
2018-04-11 14:39:24,368 INFO Train Epoch 1, Batch 54000 - 55000: RMSE = 1.0573431253433228
2018-04-11 14:39:27,002 INFO Train Epoch 1, Batch 55000 - 56000: RMSE = 1.0443851947784424
2018-04-11 14:39:29,628 INFO Train Epoch 1, Batch 56000 - 57000: RMSE = 1.0835046768188477
2018-04-11 14:39:32,256 INFO Train Epoch 1, Batch 57000 - 58000: RMSE = 1.0538955926895142
2018-04-11 14:39:34,889 INFO Train Epoch 1, Batch 58000 - 59000: RMSE = 1.0958867073059082
2018-04-11 14:39:37,507 INFO Train Epoch 1, Batch 59000 - 60000: RMSE = 1.0919411182403564
2018-04-11 14:39:40,129 INFO Train Epoch 1, Batch 60000 - 61000: RMSE = 1.1573314666748047
2018-04-11 14:39:42,755 INFO Train Epoch 1, Batch 61000 - 62000: RMSE = 1.1296298503875732
2018-04-11 14:39:45,396 INFO Train Epoch 1, Batch 62000 - 63000: RMSE = 1.1155686378479004
2018-04-11 14:39:48,023 INFO Train Epoch 1, Batch 63000 - 64000: RMSE = 1.1652156114578247
