2018-05-08 11:28:21,143 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_3/model_epoch14.ckpt
2018-05-08 11:38:39,269 INFO Train Epoch 0, Batch 58000 - 59000: RMSE = 0.8857332468032837
2018-05-08 11:38:49,399 INFO Train Epoch 0, Batch 59000 - 60000: RMSE = 0.9016153216362
2018-05-08 11:38:59,303 INFO Train Epoch 0, Batch 60000 - 61000: RMSE = 0.9523794651031494
2018-05-08 11:39:09,415 INFO Train Epoch 0, Batch 61000 - 62000: RMSE = 0.9092856049537659
2018-05-08 11:39:19,383 INFO Train Epoch 0, Batch 62000 - 63000: RMSE = 0.925028920173645
2018-05-08 11:39:29,415 INFO Train Epoch 0, Batch 63000 - 64000: RMSE = 0.912235677242279
2018-05-08 11:39:39,532 INFO Train Epoch 0, Batch 64000 - 65000: RMSE = 0.8946428894996643
2018-05-08 11:39:49,516 INFO Train Epoch 0, Batch 65000 - 66000: RMSE = 0.8929844498634338
2018-05-08 11:39:59,473 INFO Train Epoch 0, Batch 66000 - 67000: RMSE = 0.8840731978416443
2018-05-08 11:40:09,465 INFO Train Epoch 0, Batch 67000 - 68000: RMSE = 0.926338791847229
2018-05-08 11:40:19,519 INFO Train Epoch 0, Batch 68000 - 69000: RMSE = 0.8620010018348694
2018-05-08 11:40:29,474 INFO Train Epoch 0, Batch 69000 - 70000: RMSE = 0.8986001014709473
2018-05-08 11:40:39,419 INFO Train Epoch 0, Batch 70000 - 71000: RMSE = 0.9206815361976624
2018-05-08 11:40:49,391 INFO Train Epoch 0, Batch 71000 - 72000: RMSE = 0.8984916806221008
2018-05-08 11:40:59,377 INFO Train Epoch 0, Batch 72000 - 73000: RMSE = 0.9043908715248108
2018-05-08 11:41:09,542 INFO Train Epoch 0, Batch 73000 - 74000: RMSE = 0.9269117712974548
2018-05-08 11:41:19,426 INFO Train Epoch 0, Batch 74000 - 75000: RMSE = 0.9196192026138306
2018-05-08 11:41:29,484 INFO Train Epoch 0, Batch 75000 - 76000: RMSE = 0.8834460973739624
2018-05-08 11:41:39,622 INFO Train Epoch 0, Batch 76000 - 77000: RMSE = 0.863608181476593
2018-05-08 11:41:49,794 INFO Train Epoch 0, Batch 77000 - 78000: RMSE = 0.8249624967575073
2018-05-08 11:42:00,121 INFO Train Epoch 0, Batch 78000 - 79000: RMSE = 0.8317238092422485
2018-05-08 11:42:10,328 INFO Train Epoch 0, Batch 79000 - 80000: RMSE = 0.8383867740631104
2018-05-08 11:42:20,553 INFO Train Epoch 0, Batch 80000 - 81000: RMSE = 0.8326855897903442
2018-05-08 11:42:30,767 INFO Train Epoch 0, Batch 81000 - 82000: RMSE = 0.8360338807106018
2018-05-08 11:42:41,137 INFO Train Epoch 0, Batch 82000 - 83000: RMSE = 0.8534415364265442
2018-05-08 11:42:51,421 INFO Train Epoch 0, Batch 83000 - 84000: RMSE = 0.8195000886917114
2018-05-08 11:43:01,634 INFO Train Epoch 0, Batch 84000 - 85000: RMSE = 0.8423478603363037
2018-05-08 11:43:11,948 INFO Train Epoch 0, Batch 85000 - 86000: RMSE = 0.8545163869857788
