2018-05-09 11:13:51,634 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_4/model_epoch19.ckpt
2018-05-09 11:13:57,648 INFO Train Epoch 0, Batch 0 - 250: RMSE = 0.9801385998725891
2018-05-09 11:13:58,262 INFO Train Epoch 0, Batch 250 - 500: RMSE = 0.9416014552116394
2018-05-09 11:13:58,857 INFO Train Epoch 0, Batch 500 - 750: RMSE = 0.9313411712646484
2018-05-09 11:13:59,448 INFO Train Epoch 0, Batch 750 - 1000: RMSE = 0.9276827573776245
2018-05-09 11:14:00,037 INFO Train Epoch 0, Batch 1000 - 1250: RMSE = 0.9102190136909485
2018-05-09 11:14:00,624 INFO Train Epoch 0, Batch 1250 - 1500: RMSE = 0.9542321562767029
2018-05-09 11:14:01,213 INFO Train Epoch 0, Batch 1500 - 1750: RMSE = 0.8935966491699219
2018-05-09 11:14:01,802 INFO Train Epoch 0, Batch 1750 - 2000: RMSE = 0.9673625826835632
2018-05-09 11:14:02,387 INFO Train Epoch 0, Batch 2000 - 2250: RMSE = 0.9305921196937561
2018-05-09 11:14:02,974 INFO Train Epoch 0, Batch 2250 - 2500: RMSE = 0.9113549590110779
2018-05-09 11:14:03,563 INFO Train Epoch 0, Batch 2500 - 2750: RMSE = 0.8813880681991577
2018-05-09 11:14:04,153 INFO Train Epoch 0, Batch 2750 - 3000: RMSE = 0.9375920295715332
2018-05-09 11:14:04,741 INFO Train Epoch 0, Batch 3000 - 3250: RMSE = 0.9237809777259827
2018-05-09 11:14:05,327 INFO Train Epoch 0, Batch 3250 - 3500: RMSE = 0.8908717632293701
2018-05-09 11:14:05,917 INFO Train Epoch 0, Batch 3500 - 3750: RMSE = 0.9066913723945618
2018-05-09 11:14:06,504 INFO Train Epoch 0, Batch 3750 - 4000: RMSE = 1.0185176134109497
2018-05-09 11:14:07,092 INFO Train Epoch 0, Batch 4000 - 4250: RMSE = 0.8806622624397278
2018-05-09 11:14:07,679 INFO Train Epoch 0, Batch 4250 - 4500: RMSE = 0.9253137111663818
2018-05-09 11:14:08,267 INFO Train Epoch 0, Batch 4500 - 4750: RMSE = 0.9190958142280579
2018-05-09 11:14:08,856 INFO Train Epoch 0, Batch 4750 - 5000: RMSE = 0.8676680326461792
2018-05-09 11:14:09,442 INFO Train Epoch 0, Batch 5000 - 5250: RMSE = 0.9262118339538574
2018-05-09 11:14:10,027 INFO Train Epoch 0, Batch 5250 - 5500: RMSE = 0.8634244203567505
2018-05-09 11:14:10,615 INFO Train Epoch 0, Batch 5500 - 5750: RMSE = 0.8806938529014587
2018-05-09 11:14:11,201 INFO Train Epoch 0, Batch 5750 - 6000: RMSE = 0.9340031147003174
2018-05-09 11:14:11,792 INFO Train Epoch 0, Batch 6000 - 6250: RMSE = 0.894931435585022
2018-05-09 11:14:12,381 INFO Train Epoch 0, Batch 6250 - 6500: RMSE = 0.9042103290557861
2018-05-09 11:14:12,969 INFO Train Epoch 0, Batch 6500 - 6750: RMSE = 0.8306888341903687
2018-05-09 11:14:13,557 INFO Train Epoch 0, Batch 6750 - 7000: RMSE = 0.894794762134552
2018-05-09 11:14:14,144 INFO Train Epoch 0, Batch 7000 - 7250: RMSE = 0.9481974840164185
2018-05-09 11:14:14,735 INFO Train Epoch 0, Batch 7250 - 7500: RMSE = 0.9161408543586731
2018-05-09 11:14:15,325 INFO Train Epoch 0, Batch 7500 - 7750: RMSE = 0.8769416213035583
2018-05-09 11:14:15,915 INFO Train Epoch 0, Batch 7750 - 8000: RMSE = 0.8871033787727356
2018-05-09 11:14:16,505 INFO Train Epoch 0, Batch 8000 - 8250: RMSE = 0.993764340877533
2018-05-09 11:14:17,097 INFO Train Epoch 0, Batch 8250 - 8500: RMSE = 0.8895909786224365
2018-05-09 11:14:17,684 INFO Train Epoch 0, Batch 8500 - 8750: RMSE = 0.8670073747634888
2018-05-09 11:14:18,273 INFO Train Epoch 0, Batch 8750 - 9000: RMSE = 0.8082326650619507
2018-05-09 11:14:18,862 INFO Train Epoch 0, Batch 9000 - 9250: RMSE = 0.9171400666236877
2018-05-09 11:14:19,451 INFO Train Epoch 0, Batch 9250 - 9500: RMSE = 0.8834529519081116
2018-05-09 11:14:20,038 INFO Train Epoch 0, Batch 9500 - 9750: RMSE = 0.8905548453330994
2018-05-09 11:14:20,627 INFO Train Epoch 0, Batch 9750 - 10000: RMSE = 0.8357551097869873
2018-05-09 11:14:21,219 INFO Train Epoch 0, Batch 10000 - 10250: RMSE = 0.8414513468742371
2018-05-09 11:14:21,811 INFO Train Epoch 0, Batch 10250 - 10500: RMSE = 0.9050159454345703
2018-05-09 11:14:22,397 INFO Train Epoch 0, Batch 10500 - 10750: RMSE = 0.89268958568573
2018-05-09 11:14:22,983 INFO Train Epoch 0, Batch 10750 - 11000: RMSE = 0.9297451376914978
2018-05-09 11:14:23,571 INFO Train Epoch 0, Batch 11000 - 11250: RMSE = 0.9046193361282349
2018-05-09 11:14:24,157 INFO Train Epoch 0, Batch 11250 - 11500: RMSE = 0.9247841238975525
2018-05-09 11:14:24,747 INFO Train Epoch 0, Batch 11500 - 11750: RMSE = 0.9638519287109375
2018-05-09 11:14:25,339 INFO Train Epoch 0, Batch 11750 - 12000: RMSE = 0.8568686246871948
2018-05-09 11:14:25,929 INFO Train Epoch 0, Batch 12000 - 12250: RMSE = 0.8076911568641663
2018-05-09 11:14:26,514 INFO Train Epoch 0, Batch 12250 - 12500: RMSE = 0.8633216619491577
2018-05-09 11:14:27,102 INFO Train Epoch 0, Batch 12500 - 12750: RMSE = 0.8730980157852173
2018-05-09 11:14:27,690 INFO Train Epoch 0, Batch 12750 - 13000: RMSE = 0.9014561772346497
2018-05-09 11:14:28,278 INFO Train Epoch 0, Batch 13000 - 13250: RMSE = 0.8496891856193542
2018-05-09 11:14:28,863 INFO Train Epoch 0, Batch 13250 - 13500: RMSE = 0.8496311902999878
2018-05-09 11:14:29,451 INFO Train Epoch 0, Batch 13500 - 13750: RMSE = 0.8699245452880859
2018-05-09 11:14:30,039 INFO Train Epoch 0, Batch 13750 - 14000: RMSE = 0.8546196222305298
2018-05-09 11:14:30,628 INFO Train Epoch 0, Batch 14000 - 14250: RMSE = 0.8233524560928345
2018-05-09 11:14:31,217 INFO Train Epoch 0, Batch 14250 - 14500: RMSE = 0.9293952584266663
2018-05-09 11:14:31,805 INFO Train Epoch 0, Batch 14500 - 14750: RMSE = 0.9130480289459229
2018-05-09 11:14:32,399 INFO Train Epoch 0, Batch 14750 - 15000: RMSE = 0.8582451939582825
