2018-05-08 14:30:30,670 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_2/model_epoch24.ckpt
2018-05-08 14:30:49,315 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.851055920124054
2018-05-08 14:31:00,321 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.8530524373054504
2018-05-08 14:31:11,296 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.8439772129058838
2018-05-08 14:31:22,287 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.8492992520332336
2018-05-08 14:31:33,226 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.8107894062995911
2018-05-08 14:31:44,383 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.8281618356704712
2018-05-08 14:31:55,355 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.7997151613235474
2018-05-08 14:32:06,230 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.835046648979187
2018-05-08 14:32:17,148 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.8309156894683838
2018-05-08 14:32:28,217 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.8346489667892456
2018-05-08 14:32:39,156 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.8310843706130981
2018-05-08 14:32:50,090 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.8681149482727051
2018-05-08 14:33:00,960 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.8064782619476318
2018-05-08 14:33:11,892 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.8096802830696106
2018-05-08 14:33:23,023 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.8239920139312744
2018-05-08 14:33:34,002 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.8259022831916809
2018-05-08 14:33:44,873 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.8413438200950623
2018-05-08 14:33:55,797 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.8379763960838318
2018-05-08 14:34:06,729 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.8351519703865051
2018-05-08 14:34:17,656 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 0.844365656375885
2018-05-08 14:34:28,643 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 0.8280388712882996
2018-05-08 14:34:39,573 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 0.8279924988746643
2018-05-08 14:34:50,495 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 0.8343197107315063
2018-05-08 14:35:01,579 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 0.8481727838516235
2018-05-08 14:35:12,474 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 0.8251112103462219
2018-05-08 14:35:23,515 INFO Train Epoch 0, Batch 25000 - 26000: RMSE = 0.8206132054328918
2018-05-08 14:35:34,421 INFO Train Epoch 0, Batch 26000 - 27000: RMSE = 0.8479963541030884
2018-05-08 14:35:45,432 INFO Train Epoch 0, Batch 27000 - 28000: RMSE = 0.8285489082336426
2018-05-08 14:35:56,430 INFO Train Epoch 0, Batch 28000 - 29000: RMSE = 0.8152463436126709
2018-05-08 14:36:07,426 INFO Train Epoch 0, Batch 29000 - 30000: RMSE = 0.8399674892425537
2018-05-08 14:36:18,436 INFO Train Epoch 0, Batch 30000 - 31000: RMSE = 0.8598833680152893
2018-05-08 14:36:29,293 INFO Train Epoch 0, Batch 31000 - 32000: RMSE = 0.8172056674957275
2018-05-08 14:36:40,189 INFO Train Epoch 0, Batch 32000 - 33000: RMSE = 0.8141965270042419
2018-05-08 14:36:50,939 INFO Train Epoch 0, Batch 33000 - 34000: RMSE = 0.8602098822593689
2018-05-08 14:37:01,678 INFO Train Epoch 0, Batch 34000 - 35000: RMSE = 0.8645578026771545
2018-05-08 14:37:12,403 INFO Train Epoch 0, Batch 35000 - 36000: RMSE = 0.8912571668624878
2018-05-08 14:37:23,273 INFO Train Epoch 0, Batch 36000 - 37000: RMSE = 0.840377151966095
2018-05-08 14:37:34,049 INFO Train Epoch 0, Batch 37000 - 38000: RMSE = 0.8511245846748352
2018-05-08 14:37:44,837 INFO Train Epoch 0, Batch 38000 - 39000: RMSE = 0.8704706430435181
2018-05-08 14:37:55,577 INFO Train Epoch 0, Batch 39000 - 40000: RMSE = 0.8926392793655396
2018-05-08 14:38:06,389 INFO Train Epoch 0, Batch 40000 - 41000: RMSE = 0.8900002837181091
2018-05-08 14:38:17,206 INFO Train Epoch 0, Batch 41000 - 42000: RMSE = 0.8713697195053101
2018-05-08 14:38:28,022 INFO Train Epoch 0, Batch 42000 - 43000: RMSE = 0.8916299939155579
2018-05-08 14:38:38,764 INFO Train Epoch 0, Batch 43000 - 44000: RMSE = 0.8759934902191162
2018-05-08 14:38:49,605 INFO Train Epoch 0, Batch 44000 - 45000: RMSE = 0.8745073080062866
2018-05-08 14:39:00,492 INFO Train Epoch 0, Batch 45000 - 46000: RMSE = 0.861517071723938
2018-05-08 14:39:11,204 INFO Train Epoch 0, Batch 46000 - 47000: RMSE = 0.8937800526618958
