2018-05-08 09:37:00,862 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_3/model_epoch49.ckpt
2018-05-08 09:37:10,424 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.9626505374908447
2018-05-08 09:37:12,655 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.9443501234054565
2018-05-08 09:37:14,880 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.918502688407898
2018-05-08 09:37:17,097 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.9514088034629822
2018-05-08 09:37:19,330 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.9113771319389343
2018-05-08 09:37:21,561 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.9260133504867554
2018-05-08 09:37:23,792 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.9180952310562134
2018-05-08 09:37:26,032 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.9542160630226135
2018-05-08 09:37:28,269 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.9066540002822876
2018-05-08 09:37:30,500 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.890467643737793
2018-05-08 09:37:32,734 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.8988161683082581
2018-05-08 09:37:34,955 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.9274100661277771
2018-05-08 09:37:37,186 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.8779126405715942
2018-05-08 09:37:39,415 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.8745474815368652
2018-05-08 09:37:41,655 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.8870657086372375
2018-05-08 09:37:43,883 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.8937777280807495
2018-05-08 09:37:46,113 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.892883837223053
2018-05-08 09:37:48,351 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.897568941116333
