2018-05-11 09:01:37,717 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_6/model_epoch24.ckpt
2018-05-11 09:01:44,246 INFO Train Epoch 0, Batch 0 - 250: RMSE = 0.9240540266036987
2018-05-11 09:01:44,842 INFO Train Epoch 0, Batch 250 - 500: RMSE = 0.8999968767166138
2018-05-11 09:01:45,431 INFO Train Epoch 0, Batch 500 - 750: RMSE = 0.8597589731216431
2018-05-11 09:01:46,020 INFO Train Epoch 0, Batch 750 - 1000: RMSE = 0.8901726007461548
2018-05-11 09:01:46,608 INFO Train Epoch 0, Batch 1000 - 1250: RMSE = 0.8832009434700012
2018-05-11 09:01:47,192 INFO Train Epoch 0, Batch 1250 - 1500: RMSE = 0.9094305038452148
2018-05-11 09:01:47,779 INFO Train Epoch 0, Batch 1500 - 1750: RMSE = 0.8583572506904602
2018-05-11 09:01:48,366 INFO Train Epoch 0, Batch 1750 - 2000: RMSE = 0.9209495782852173
2018-05-11 09:01:48,953 INFO Train Epoch 0, Batch 2000 - 2250: RMSE = 0.8729495406150818
2018-05-11 09:01:49,542 INFO Train Epoch 0, Batch 2250 - 2500: RMSE = 0.8708426356315613
2018-05-11 09:01:50,137 INFO Train Epoch 0, Batch 2500 - 2750: RMSE = 0.8221262097358704
2018-05-11 09:01:50,721 INFO Train Epoch 0, Batch 2750 - 3000: RMSE = 0.9210276007652283
2018-05-11 09:01:51,307 INFO Train Epoch 0, Batch 3000 - 3250: RMSE = 0.8753498792648315
2018-05-11 09:01:51,895 INFO Train Epoch 0, Batch 3250 - 3500: RMSE = 0.8550150990486145
2018-05-11 09:01:52,481 INFO Train Epoch 0, Batch 3500 - 3750: RMSE = 0.8623281121253967
2018-05-11 09:01:53,069 INFO Train Epoch 0, Batch 3750 - 4000: RMSE = 0.9750364422798157
2018-05-11 09:01:53,660 INFO Train Epoch 0, Batch 4000 - 4250: RMSE = 0.8471412062644958
2018-05-11 09:01:54,249 INFO Train Epoch 0, Batch 4250 - 4500: RMSE = 0.8702417016029358
2018-05-11 09:01:54,835 INFO Train Epoch 0, Batch 4500 - 4750: RMSE = 0.9005249738693237
2018-05-11 09:01:55,423 INFO Train Epoch 0, Batch 4750 - 5000: RMSE = 0.8528699278831482
2018-05-11 09:01:56,009 INFO Train Epoch 0, Batch 5000 - 5250: RMSE = 0.891264796257019
2018-05-11 09:01:56,598 INFO Train Epoch 0, Batch 5250 - 5500: RMSE = 0.8306534290313721
2018-05-11 09:01:57,189 INFO Train Epoch 0, Batch 5500 - 5750: RMSE = 0.838655412197113
2018-05-11 09:01:57,780 INFO Train Epoch 0, Batch 5750 - 6000: RMSE = 0.9109359979629517
2018-05-11 09:01:58,370 INFO Train Epoch 0, Batch 6000 - 6250: RMSE = 0.858727753162384
2018-05-11 09:01:58,958 INFO Train Epoch 0, Batch 6250 - 6500: RMSE = 0.8571596145629883
2018-05-11 09:01:59,544 INFO Train Epoch 0, Batch 6500 - 6750: RMSE = 0.8001415133476257
2018-05-11 09:02:00,131 INFO Train Epoch 0, Batch 6750 - 7000: RMSE = 0.8588234782218933
2018-05-11 09:02:00,719 INFO Train Epoch 0, Batch 7000 - 7250: RMSE = 0.9076797962188721
2018-05-11 09:02:01,307 INFO Train Epoch 0, Batch 7250 - 7500: RMSE = 0.8951124548912048
2018-05-11 09:02:01,898 INFO Train Epoch 0, Batch 7500 - 7750: RMSE = 0.8577563762664795
2018-05-11 09:02:02,489 INFO Train Epoch 0, Batch 7750 - 8000: RMSE = 0.8547301888465881
2018-05-11 09:02:03,081 INFO Train Epoch 0, Batch 8000 - 8250: RMSE = 0.9519332647323608
2018-05-11 09:02:03,668 INFO Train Epoch 0, Batch 8250 - 8500: RMSE = 0.8581275939941406
2018-05-11 09:02:04,258 INFO Train Epoch 0, Batch 8500 - 8750: RMSE = 0.8340927362442017
2018-05-11 09:02:04,848 INFO Train Epoch 0, Batch 8750 - 9000: RMSE = 0.7692995071411133
2018-05-11 09:02:05,437 INFO Train Epoch 0, Batch 9000 - 9250: RMSE = 0.890411376953125
