2018-05-08 07:21:25,947 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_3/model_epoch49.ckpt
2018-05-08 07:24:02,600 INFO Train Epoch 0, Batch 58000 - 59000: RMSE = 1.0117548704147339
2018-05-08 07:24:05,124 INFO Train Epoch 0, Batch 59000 - 60000: RMSE = 1.0016047954559326
2018-05-08 07:24:07,679 INFO Train Epoch 0, Batch 60000 - 61000: RMSE = 1.0408577919006348
2018-05-08 07:24:10,216 INFO Train Epoch 0, Batch 61000 - 62000: RMSE = 1.0224583148956299
2018-05-08 07:24:12,763 INFO Train Epoch 0, Batch 62000 - 63000: RMSE = 1.01271653175354
2018-05-08 07:24:15,295 INFO Train Epoch 0, Batch 63000 - 64000: RMSE = 1.0425785779953003
2018-05-08 07:24:17,825 INFO Train Epoch 0, Batch 64000 - 65000: RMSE = 1.0289605855941772
2018-05-08 07:24:20,361 INFO Train Epoch 0, Batch 65000 - 66000: RMSE = 1.0088313817977905
2018-05-08 07:24:22,892 INFO Train Epoch 0, Batch 66000 - 67000: RMSE = 1.0120269060134888
2018-05-08 07:24:25,438 INFO Train Epoch 0, Batch 67000 - 68000: RMSE = 1.0233869552612305
2018-05-08 07:24:27,980 INFO Train Epoch 0, Batch 68000 - 69000: RMSE = 0.9895913004875183
2018-05-08 07:24:30,526 INFO Train Epoch 0, Batch 69000 - 70000: RMSE = 1.0246853828430176
2018-05-08 07:24:33,064 INFO Train Epoch 0, Batch 70000 - 71000: RMSE = 1.041893482208252
2018-05-08 07:24:35,601 INFO Train Epoch 0, Batch 71000 - 72000: RMSE = 0.9969685673713684
2018-05-08 07:24:38,134 INFO Train Epoch 0, Batch 72000 - 73000: RMSE = 1.034057855606079
2018-05-08 07:24:40,684 INFO Train Epoch 0, Batch 73000 - 74000: RMSE = 1.0567209720611572
2018-05-08 07:24:43,224 INFO Train Epoch 0, Batch 74000 - 75000: RMSE = 1.0365408658981323
