2018-05-16 14:57:48,223 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_6/model_epoch99.ckpt
2018-05-16 14:57:54,165 INFO Train Epoch 0, Batch 0 - 250: RMSE = 0.9124937653541565
2018-05-16 14:57:54,816 INFO Train Epoch 0, Batch 250 - 500: RMSE = 0.9040983319282532
2018-05-16 14:57:55,465 INFO Train Epoch 0, Batch 500 - 750: RMSE = 0.8138151168823242
2018-05-16 14:57:56,105 INFO Train Epoch 0, Batch 750 - 1000: RMSE = 0.8272588849067688
2018-05-16 14:57:56,747 INFO Train Epoch 0, Batch 1000 - 1250: RMSE = 0.8334730863571167
2018-05-16 14:57:57,387 INFO Train Epoch 0, Batch 1250 - 1500: RMSE = 0.8873819708824158
2018-05-16 14:57:58,026 INFO Train Epoch 0, Batch 1500 - 1750: RMSE = 0.9148539304733276
2018-05-16 14:57:58,667 INFO Train Epoch 0, Batch 1750 - 2000: RMSE = 0.9147829413414001
2018-05-16 14:57:59,313 INFO Train Epoch 0, Batch 2000 - 2250: RMSE = 0.8352137207984924
2018-05-16 14:57:59,953 INFO Train Epoch 0, Batch 2250 - 2500: RMSE = 0.8721657991409302
2018-05-16 14:58:00,591 INFO Train Epoch 0, Batch 2500 - 2750: RMSE = 0.8114885687828064
2018-05-16 14:58:01,240 INFO Train Epoch 0, Batch 2750 - 3000: RMSE = 0.8830814361572266
2018-05-16 14:58:01,883 INFO Train Epoch 0, Batch 3000 - 3250: RMSE = 0.8519018888473511
2018-05-16 14:58:02,523 INFO Train Epoch 0, Batch 3250 - 3500: RMSE = 0.7947067618370056
2018-05-16 14:58:03,162 INFO Train Epoch 0, Batch 3500 - 3750: RMSE = 0.8537380695343018
2018-05-16 14:58:03,801 INFO Train Epoch 0, Batch 3750 - 4000: RMSE = 0.9960804581642151
2018-05-16 14:58:04,438 INFO Train Epoch 0, Batch 4000 - 4250: RMSE = 0.8536549806594849
2018-05-16 14:58:05,076 INFO Train Epoch 0, Batch 4250 - 4500: RMSE = 0.8369433879852295
2018-05-16 14:58:05,727 INFO Train Epoch 0, Batch 4500 - 4750: RMSE = 0.8637593388557434
2018-05-16 14:58:06,367 INFO Train Epoch 0, Batch 4750 - 5000: RMSE = 0.8286983370780945
2018-05-16 14:58:07,005 INFO Train Epoch 0, Batch 5000 - 5250: RMSE = 0.8552823066711426
2018-05-16 14:58:07,647 INFO Train Epoch 0, Batch 5250 - 5500: RMSE = 0.8367637991905212
2018-05-16 14:58:08,286 INFO Train Epoch 0, Batch 5500 - 5750: RMSE = 0.859338641166687
2018-05-16 14:58:08,926 INFO Train Epoch 0, Batch 5750 - 6000: RMSE = 0.855400562286377
2018-05-16 14:58:09,571 INFO Train Epoch 0, Batch 6000 - 6250: RMSE = 0.8068820238113403
2018-05-16 14:58:10,211 INFO Train Epoch 0, Batch 6250 - 6500: RMSE = 0.8371298909187317
2018-05-16 14:58:10,856 INFO Train Epoch 0, Batch 6500 - 6750: RMSE = 0.783015787601471
2018-05-16 14:58:11,496 INFO Train Epoch 0, Batch 6750 - 7000: RMSE = 0.8560725450515747
2018-05-16 14:58:12,135 INFO Train Epoch 0, Batch 7000 - 7250: RMSE = 0.8662917613983154
2018-05-16 14:58:12,777 INFO Train Epoch 0, Batch 7250 - 7500: RMSE = 0.8521458506584167
2018-05-16 14:58:13,416 INFO Train Epoch 0, Batch 7500 - 7750: RMSE = 0.8415399193763733
2018-05-16 14:58:14,063 INFO Train Epoch 0, Batch 7750 - 8000: RMSE = 0.8924626708030701
2018-05-16 14:58:14,701 INFO Train Epoch 0, Batch 8000 - 8250: RMSE = 0.9259158968925476
2018-05-16 14:58:15,343 INFO Train Epoch 0, Batch 8250 - 8500: RMSE = 0.8286619186401367
2018-05-16 14:58:15,984 INFO Train Epoch 0, Batch 8500 - 8750: RMSE = 0.8689236640930176
2018-05-16 14:58:16,626 INFO Train Epoch 0, Batch 8750 - 9000: RMSE = 0.747477114200592
2018-05-16 14:58:17,271 INFO Train Epoch 0, Batch 9000 - 9250: RMSE = 0.8758923411369324
2018-05-16 14:58:17,914 INFO Train Epoch 0, Batch 9250 - 9500: RMSE = 0.8738260269165039
2018-05-16 14:58:18,553 INFO Train Epoch 0, Batch 9500 - 9750: RMSE = 0.8664922714233398
2018-05-16 14:58:19,189 INFO Train Epoch 0, Batch 9750 - 10000: RMSE = 0.8276830911636353
2018-05-16 14:58:19,832 INFO Train Epoch 0, Batch 10000 - 10250: RMSE = 0.8173037171363831
2018-05-16 14:58:20,479 INFO Train Epoch 0, Batch 10250 - 10500: RMSE = 0.8264138102531433
2018-05-16 14:58:21,126 INFO Train Epoch 0, Batch 10500 - 10750: RMSE = 0.8551607131958008
2018-05-16 14:58:21,765 INFO Train Epoch 0, Batch 10750 - 11000: RMSE = 0.8525322675704956
2018-05-16 14:58:22,403 INFO Train Epoch 0, Batch 11000 - 11250: RMSE = 0.8403549194335938
2018-05-16 14:58:23,044 INFO Train Epoch 0, Batch 11250 - 11500: RMSE = 0.8808175325393677
2018-05-16 14:58:23,685 INFO Train Epoch 0, Batch 11500 - 11750: RMSE = 0.890377938747406
2018-05-16 14:58:24,324 INFO Train Epoch 0, Batch 11750 - 12000: RMSE = 0.8380347490310669
2018-05-16 14:58:24,966 INFO Train Epoch 0, Batch 12000 - 12250: RMSE = 0.7594550251960754
2018-05-16 14:58:25,615 INFO Train Epoch 0, Batch 12250 - 12500: RMSE = 0.8287337422370911
2018-05-16 14:58:26,257 INFO Train Epoch 0, Batch 12500 - 12750: RMSE = 0.8144339323043823
2018-05-16 14:58:26,898 INFO Train Epoch 0, Batch 12750 - 13000: RMSE = 0.8373534679412842
2018-05-16 14:58:27,535 INFO Train Epoch 0, Batch 13000 - 13250: RMSE = 0.8322426080703735
2018-05-16 14:58:28,177 INFO Train Epoch 0, Batch 13250 - 13500: RMSE = 0.8431498408317566
2018-05-16 14:58:28,820 INFO Train Epoch 0, Batch 13500 - 13750: RMSE = 0.8419652581214905
2018-05-16 14:58:29,466 INFO Train Epoch 0, Batch 13750 - 14000: RMSE = 0.83832848072052
2018-05-16 14:58:30,112 INFO Train Epoch 0, Batch 14000 - 14250: RMSE = 0.7997495532035828
2018-05-16 14:58:30,749 INFO Train Epoch 0, Batch 14250 - 14500: RMSE = 0.8551070690155029
2018-05-16 14:58:31,395 INFO Train Epoch 0, Batch 14500 - 14750: RMSE = 0.8459618091583252
2018-05-16 14:58:32,041 INFO Train Epoch 0, Batch 14750 - 15000: RMSE = 0.789608895778656
2018-05-16 14:58:32,681 INFO Train Epoch 0, Batch 15000 - 15250: RMSE = 0.8551112413406372
2018-05-16 14:58:33,327 INFO Train Epoch 0, Batch 15250 - 15500: RMSE = 0.8171172142028809
