2018-05-15 12:50:04,543 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_4/model_epoch19.ckpt
2018-05-15 12:50:09,228 INFO Train Epoch 0, Batch 0 - 250: RMSE = 0.9051393270492554
2018-05-15 12:50:11,830 INFO Train Epoch 0, Batch 250 - 500: RMSE = 0.8483016490936279
2018-05-15 12:50:14,418 INFO Train Epoch 0, Batch 500 - 750: RMSE = 0.9315953254699707
2018-05-15 12:50:17,014 INFO Train Epoch 0, Batch 750 - 1000: RMSE = 0.8237266540527344
2018-05-15 12:50:19,631 INFO Train Epoch 0, Batch 1000 - 1250: RMSE = 0.8169239163398743
2018-05-15 12:50:22,271 INFO Train Epoch 0, Batch 1250 - 1500: RMSE = 0.8477298617362976
2018-05-15 12:50:24,887 INFO Train Epoch 0, Batch 1500 - 1750: RMSE = 0.8521727323532104
2018-05-15 12:50:27,490 INFO Train Epoch 0, Batch 1750 - 2000: RMSE = 0.8605859875679016
2018-05-15 12:50:30,092 INFO Train Epoch 0, Batch 2000 - 2250: RMSE = 0.8931838870048523
2018-05-15 12:50:32,716 INFO Train Epoch 0, Batch 2250 - 2500: RMSE = 0.8622222542762756
2018-05-15 12:50:35,342 INFO Train Epoch 0, Batch 2500 - 2750: RMSE = 0.8155596852302551
2018-05-15 12:50:37,973 INFO Train Epoch 0, Batch 2750 - 3000: RMSE = 0.8638671040534973
2018-05-15 12:50:40,556 INFO Train Epoch 0, Batch 3000 - 3250: RMSE = 0.8125277161598206
2018-05-15 12:50:43,170 INFO Train Epoch 0, Batch 3250 - 3500: RMSE = 0.8211851119995117
2018-05-15 12:50:45,801 INFO Train Epoch 0, Batch 3500 - 3750: RMSE = 0.8602072596549988
2018-05-15 12:50:48,412 INFO Train Epoch 0, Batch 3750 - 4000: RMSE = 0.9126741290092468
2018-05-15 12:50:51,034 INFO Train Epoch 0, Batch 4000 - 4250: RMSE = 0.8001519441604614
2018-05-15 12:50:53,640 INFO Train Epoch 0, Batch 4250 - 4500: RMSE = 0.8426213264465332
2018-05-15 12:50:56,253 INFO Train Epoch 0, Batch 4500 - 4750: RMSE = 0.8400290012359619
2018-05-15 12:50:58,880 INFO Train Epoch 0, Batch 4750 - 5000: RMSE = 0.7973335385322571
2018-05-15 12:51:01,471 INFO Train Epoch 0, Batch 5000 - 5250: RMSE = 0.7839347720146179
2018-05-15 12:51:04,085 INFO Train Epoch 0, Batch 5250 - 5500: RMSE = 0.8726738691329956
2018-05-15 12:51:06,755 INFO Train Epoch 0, Batch 5500 - 5750: RMSE = 0.8419963717460632
2018-05-15 12:51:09,379 INFO Train Epoch 0, Batch 5750 - 6000: RMSE = 0.8454649448394775
2018-05-15 12:51:12,010 INFO Train Epoch 0, Batch 6000 - 6250: RMSE = 0.8091678619384766
2018-05-15 12:51:14,638 INFO Train Epoch 0, Batch 6250 - 6500: RMSE = 0.850437343120575
2018-05-15 12:51:17,258 INFO Train Epoch 0, Batch 6500 - 6750: RMSE = 0.7237325310707092
2018-05-15 12:51:19,863 INFO Train Epoch 0, Batch 6750 - 7000: RMSE = 0.8382508754730225
2018-05-15 12:51:22,465 INFO Train Epoch 0, Batch 7000 - 7250: RMSE = 0.879684567451477
2018-05-15 12:51:25,068 INFO Train Epoch 0, Batch 7250 - 7500: RMSE = 0.8420020341873169
2018-05-15 12:51:27,670 INFO Train Epoch 0, Batch 7500 - 7750: RMSE = 0.833247184753418
2018-05-15 12:51:30,241 INFO Train Epoch 0, Batch 7750 - 8000: RMSE = 0.7944782972335815
2018-05-15 12:51:32,834 INFO Train Epoch 0, Batch 8000 - 8250: RMSE = 0.9098321199417114
2018-05-15 12:51:35,474 INFO Train Epoch 0, Batch 8250 - 8500: RMSE = 0.7832087278366089
2018-05-15 12:51:38,055 INFO Train Epoch 0, Batch 8500 - 8750: RMSE = 0.8451864719390869
2018-05-15 12:51:40,670 INFO Train Epoch 0, Batch 8750 - 9000: RMSE = 0.7871941924095154
2018-05-15 12:51:43,291 INFO Train Epoch 0, Batch 9000 - 9250: RMSE = 0.8938692212104797
2018-05-15 12:51:45,885 INFO Train Epoch 0, Batch 9250 - 9500: RMSE = 0.8364927768707275
