2018-05-11 06:31:55,194 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_5/model_epoch24.ckpt
2018-05-11 06:32:35,167 INFO Train Epoch 0, Batch 14500 - 14750: RMSE = 0.889776349067688
2018-05-11 06:32:35,757 INFO Train Epoch 0, Batch 14750 - 15000: RMSE = 0.8144654631614685
2018-05-11 06:32:36,348 INFO Train Epoch 0, Batch 15000 - 15250: RMSE = 0.8489810824394226
2018-05-11 06:32:36,935 INFO Train Epoch 0, Batch 15250 - 15500: RMSE = 0.904220461845398
2018-05-11 06:32:37,531 INFO Train Epoch 0, Batch 15500 - 15750: RMSE = 0.8549423217773438
2018-05-11 06:32:38,132 INFO Train Epoch 0, Batch 15750 - 16000: RMSE = 0.9400394558906555
2018-05-11 06:32:38,723 INFO Train Epoch 0, Batch 16000 - 16250: RMSE = 0.8653451800346375
2018-05-11 06:32:39,317 INFO Train Epoch 0, Batch 16250 - 16500: RMSE = 0.829312264919281
2018-05-11 06:32:39,912 INFO Train Epoch 0, Batch 16500 - 16750: RMSE = 0.929751992225647
2018-05-11 06:32:40,511 INFO Train Epoch 0, Batch 16750 - 17000: RMSE = 0.8610829710960388
2018-05-11 06:32:41,102 INFO Train Epoch 0, Batch 17000 - 17250: RMSE = 0.9222381114959717
2018-05-11 06:32:41,709 INFO Train Epoch 0, Batch 17250 - 17500: RMSE = 0.8471962809562683
2018-05-11 06:32:42,296 INFO Train Epoch 0, Batch 17500 - 17750: RMSE = 0.8533704280853271
2018-05-11 06:32:42,887 INFO Train Epoch 0, Batch 17750 - 18000: RMSE = 0.8831857442855835
2018-05-11 06:32:43,479 INFO Train Epoch 0, Batch 18000 - 18250: RMSE = 0.8843321204185486
2018-05-11 06:32:44,075 INFO Train Epoch 0, Batch 18250 - 18500: RMSE = 0.8631924986839294
2018-05-11 06:32:44,667 INFO Train Epoch 0, Batch 18500 - 18750: RMSE = 0.8357564210891724
2018-05-11 06:32:45,258 INFO Train Epoch 0, Batch 18750 - 19000: RMSE = 0.9004453420639038
2018-05-11 06:32:45,853 INFO Train Epoch 0, Batch 19000 - 19250: RMSE = 0.9234342575073242
2018-05-11 06:32:46,444 INFO Train Epoch 0, Batch 19250 - 19500: RMSE = 0.87993985414505
2018-05-11 06:32:47,042 INFO Train Epoch 0, Batch 19500 - 19750: RMSE = 0.8414630889892578
2018-05-11 06:32:47,639 INFO Train Epoch 0, Batch 19750 - 20000: RMSE = 0.916068434715271
2018-05-11 06:32:48,239 INFO Train Epoch 0, Batch 20000 - 20250: RMSE = 0.9229354858398438
2018-05-11 06:32:48,836 INFO Train Epoch 0, Batch 20250 - 20500: RMSE = 0.9050947427749634
2018-05-11 06:32:49,424 INFO Train Epoch 0, Batch 20500 - 20750: RMSE = 0.9394316673278809
2018-05-11 06:32:50,016 INFO Train Epoch 0, Batch 20750 - 21000: RMSE = 0.7982197999954224
2018-05-11 06:32:50,608 INFO Train Epoch 0, Batch 21000 - 21250: RMSE = 0.8888000249862671
2018-05-11 06:32:51,203 INFO Train Epoch 0, Batch 21250 - 21500: RMSE = 0.8606988191604614
2018-05-11 06:32:51,796 INFO Train Epoch 0, Batch 21500 - 21750: RMSE = 0.8787099719047546
2018-05-11 06:32:52,392 INFO Train Epoch 0, Batch 21750 - 22000: RMSE = 0.8648916482925415
2018-05-11 06:32:53,039 INFO Train Epoch 0, Batch 22000 - 22250: RMSE = 0.9211735129356384
2018-05-11 06:32:53,630 INFO Train Epoch 0, Batch 22250 - 22500: RMSE = 0.893933892250061
2018-05-11 06:32:54,326 INFO Train Epoch 0, Batch 22500 - 22750: RMSE = 0.8618649840354919
2018-05-11 06:32:54,914 INFO Train Epoch 0, Batch 22750 - 23000: RMSE = 0.8308489322662354
2018-05-11 06:32:55,513 INFO Train Epoch 0, Batch 23000 - 23250: RMSE = 0.8283916711807251
2018-05-11 06:32:56,110 INFO Train Epoch 0, Batch 23250 - 23500: RMSE = 0.891086220741272
2018-05-11 06:32:56,705 INFO Train Epoch 0, Batch 23500 - 23750: RMSE = 0.8378945589065552
2018-05-11 06:32:57,303 INFO Train Epoch 0, Batch 23750 - 24000: RMSE = 0.9378235936164856
2018-05-11 06:32:57,899 INFO Train Epoch 0, Batch 24000 - 24250: RMSE = 0.8876981735229492
2018-05-11 06:32:58,487 INFO Train Epoch 0, Batch 24250 - 24500: RMSE = 0.8283287882804871
2018-05-11 06:32:59,084 INFO Train Epoch 0, Batch 24500 - 24750: RMSE = 0.8756431341171265
2018-05-11 06:32:59,683 INFO Train Epoch 0, Batch 24750 - 25000: RMSE = 0.9034086465835571
2018-05-11 06:33:00,283 INFO Train Epoch 0, Batch 25000 - 25250: RMSE = 0.8954691886901855
2018-05-11 06:33:00,883 INFO Train Epoch 0, Batch 25250 - 25500: RMSE = 0.8365646004676819
2018-05-11 06:33:01,472 INFO Train Epoch 0, Batch 25500 - 25750: RMSE = 0.9091900587081909
2018-05-11 06:33:02,068 INFO Train Epoch 0, Batch 25750 - 26000: RMSE = 0.8799915909767151
2018-05-11 06:33:02,664 INFO Train Epoch 0, Batch 26000 - 26250: RMSE = 0.8458627462387085
2018-05-11 06:33:03,255 INFO Train Epoch 0, Batch 26250 - 26500: RMSE = 0.8697082996368408
2018-05-11 06:33:03,848 INFO Train Epoch 0, Batch 26500 - 26750: RMSE = 0.8589493632316589
2018-05-11 06:33:04,439 INFO Train Epoch 0, Batch 26750 - 27000: RMSE = 0.884333074092865
2018-05-11 06:33:05,035 INFO Train Epoch 0, Batch 27000 - 27250: RMSE = 0.8407498598098755
2018-05-11 06:33:05,633 INFO Train Epoch 0, Batch 27250 - 27500: RMSE = 0.8944901823997498
2018-05-11 06:33:06,226 INFO Train Epoch 0, Batch 27500 - 27750: RMSE = 0.8394075632095337
2018-05-11 06:33:06,823 INFO Train Epoch 0, Batch 27750 - 28000: RMSE = 0.9215974807739258
2018-05-11 06:33:07,429 INFO Train Epoch 0, Batch 28000 - 28250: RMSE = 0.8230260610580444
2018-05-11 06:33:08,029 INFO Train Epoch 0, Batch 28250 - 28500: RMSE = 0.8561159372329712
2018-05-11 06:33:08,631 INFO Train Epoch 0, Batch 28500 - 28750: RMSE = 0.9538002014160156
2018-05-11 06:33:09,226 INFO Train Epoch 0, Batch 28750 - 29000: RMSE = 0.8284752368927002
2018-05-11 06:33:09,824 INFO Train Epoch 0, Batch 29000 - 29250: RMSE = 0.9453927278518677
2018-05-11 06:33:10,426 INFO Train Epoch 0, Batch 29250 - 29500: RMSE = 0.9863321185112
2018-05-11 06:33:11,029 INFO Train Epoch 0, Batch 29500 - 29750: RMSE = 0.8574724197387695
2018-05-11 06:33:11,628 INFO Train Epoch 0, Batch 29750 - 30000: RMSE = 0.9167653322219849
2018-05-11 06:33:12,222 INFO Train Epoch 0, Batch 30000 - 30250: RMSE = 0.8241135478019714
2018-05-11 06:33:12,822 INFO Train Epoch 0, Batch 30250 - 30500: RMSE = 0.9104936718940735
2018-05-11 06:33:13,418 INFO Train Epoch 0, Batch 30500 - 30750: RMSE = 0.8810656070709229
2018-05-11 06:33:14,015 INFO Train Epoch 0, Batch 30750 - 31000: RMSE = 0.9018310904502869
2018-05-11 06:33:14,610 INFO Train Epoch 0, Batch 31000 - 31250: RMSE = 0.9254281520843506
2018-05-11 06:33:15,203 INFO Train Epoch 0, Batch 31250 - 31500: RMSE = 0.8801078200340271
2018-05-11 06:33:15,798 INFO Train Epoch 0, Batch 31500 - 31750: RMSE = 0.8784705400466919
2018-05-11 06:33:16,391 INFO Train Epoch 0, Batch 31750 - 32000: RMSE = 0.8595537543296814
2018-05-11 06:33:16,983 INFO Train Epoch 0, Batch 32000 - 32250: RMSE = 0.8768726587295532
2018-05-11 06:33:17,581 INFO Train Epoch 0, Batch 32250 - 32500: RMSE = 0.9366562962532043
2018-05-11 06:33:18,181 INFO Train Epoch 0, Batch 32500 - 32750: RMSE = 0.8085429668426514
2018-05-11 06:33:18,774 INFO Train Epoch 0, Batch 32750 - 33000: RMSE = 0.9094741344451904
2018-05-11 06:33:19,367 INFO Train Epoch 0, Batch 33000 - 33250: RMSE = 0.9448705315589905
2018-05-11 06:33:19,961 INFO Train Epoch 0, Batch 33250 - 33500: RMSE = 0.8480499982833862
2018-05-11 06:33:20,560 INFO Train Epoch 0, Batch 33500 - 33750: RMSE = 0.9505118131637573
2018-05-11 06:33:21,163 INFO Train Epoch 0, Batch 33750 - 34000: RMSE = 0.9233733415603638
2018-05-11 06:33:21,760 INFO Train Epoch 0, Batch 34000 - 34250: RMSE = 0.9110156893730164
2018-05-11 06:33:22,359 INFO Train Epoch 0, Batch 34250 - 34500: RMSE = 0.9317561388015747
2018-05-11 06:33:22,951 INFO Train Epoch 0, Batch 34500 - 34750: RMSE = 0.9829029440879822
2018-05-11 06:33:23,549 INFO Train Epoch 0, Batch 34750 - 35000: RMSE = 0.9297444224357605
2018-05-11 06:33:24,153 INFO Train Epoch 0, Batch 35000 - 35250: RMSE = 0.9284036159515381
2018-05-11 06:33:24,754 INFO Train Epoch 0, Batch 35250 - 35500: RMSE = 0.9852176904678345
2018-05-11 06:33:25,355 INFO Train Epoch 0, Batch 35500 - 35750: RMSE = 0.9160817265510559
2018-05-11 06:33:25,950 INFO Train Epoch 0, Batch 35750 - 36000: RMSE = 0.9738891124725342
2018-05-11 06:33:26,542 INFO Train Epoch 0, Batch 36000 - 36250: RMSE = 0.8954923748970032
2018-05-11 06:33:27,138 INFO Train Epoch 0, Batch 36250 - 36500: RMSE = 0.8357323408126831
2018-05-11 06:33:27,736 INFO Train Epoch 0, Batch 36500 - 36750: RMSE = 0.9291372895240784
2018-05-11 06:33:28,343 INFO Train Epoch 0, Batch 36750 - 37000: RMSE = 1.0024189949035645
2018-05-11 06:33:28,936 INFO Train Epoch 0, Batch 37000 - 37250: RMSE = 0.9820937514305115
2018-05-11 06:33:29,530 INFO Train Epoch 0, Batch 37250 - 37500: RMSE = 0.8051603436470032
2018-05-11 06:33:30,123 INFO Train Epoch 0, Batch 37500 - 37750: RMSE = 0.8986382484436035
2018-05-11 06:33:30,716 INFO Train Epoch 0, Batch 37750 - 38000: RMSE = 0.8965943455696106
2018-05-11 06:33:31,317 INFO Train Epoch 0, Batch 38000 - 38250: RMSE = 0.9901958107948303
2018-05-11 06:33:31,913 INFO Train Epoch 0, Batch 38250 - 38500: RMSE = 0.8702787160873413
2018-05-11 06:33:32,503 INFO Train Epoch 0, Batch 38500 - 38750: RMSE = 0.9270461201667786
2018-05-11 06:33:33,100 INFO Train Epoch 0, Batch 38750 - 39000: RMSE = 0.9030067324638367
2018-05-11 06:33:33,697 INFO Train Epoch 0, Batch 39000 - 39250: RMSE = 0.8797144293785095
2018-05-11 06:33:34,297 INFO Train Epoch 0, Batch 39250 - 39500: RMSE = 0.9766654968261719
2018-05-11 06:33:34,900 INFO Train Epoch 0, Batch 39500 - 39750: RMSE = 0.9884775876998901
2018-05-11 06:33:35,497 INFO Train Epoch 0, Batch 39750 - 40000: RMSE = 0.957448422908783
2018-05-11 06:33:36,100 INFO Train Epoch 0, Batch 40000 - 40250: RMSE = 0.8610947132110596
2018-05-11 06:33:36,698 INFO Train Epoch 0, Batch 40250 - 40500: RMSE = 0.9814631342887878
2018-05-11 06:33:37,298 INFO Train Epoch 0, Batch 40500 - 40750: RMSE = 0.935197651386261
2018-05-11 06:33:37,900 INFO Train Epoch 0, Batch 40750 - 41000: RMSE = 0.9662633538246155
