2018-04-07 08:14:44,482 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_2/model_epoch14.ckpt
2018-04-07 08:15:01,801 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.879869818687439
2018-04-07 08:15:12,265 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.8657885789871216
2018-04-07 08:15:22,745 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.8648591041564941
2018-04-07 08:15:33,192 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.8737056851387024
2018-04-07 08:15:43,643 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.8359272480010986
2018-04-07 08:15:54,285 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.8583846092224121
2018-04-07 08:16:04,782 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.824770987033844
2018-04-07 08:16:15,161 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.8728963136672974
2018-04-07 08:16:25,580 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.8604116439819336
2018-04-07 08:16:36,098 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.8689852356910706
2018-04-07 08:16:46,540 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.8388988971710205
2018-04-07 08:16:56,942 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.8969535231590271
2018-04-07 08:17:07,315 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.8188381195068359
2018-04-07 08:17:17,706 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.8575757741928101
2018-04-07 08:17:28,299 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.8404353857040405
2018-04-07 08:17:38,754 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.8644776344299316
2018-04-07 08:17:49,137 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.8408948183059692
2018-04-07 08:17:59,548 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.8646377325057983
2018-04-07 08:18:10,040 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.865498960018158
2018-04-07 08:18:20,456 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 0.8788596987724304
2018-04-07 08:18:30,902 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 0.8675247430801392
2018-04-07 08:18:41,314 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 0.8604205846786499
2018-04-07 08:18:51,704 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 0.8514633178710938
2018-04-07 08:19:02,274 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 0.8537558317184448
2018-04-07 08:19:12,670 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 0.8632804751396179
2018-04-07 08:19:23,138 INFO Train Epoch 0, Batch 25000 - 26000: RMSE = 0.8519369959831238
2018-04-07 08:19:33,534 INFO Train Epoch 0, Batch 26000 - 27000: RMSE = 0.8747982978820801
2018-04-07 08:19:44,038 INFO Train Epoch 0, Batch 27000 - 28000: RMSE = 0.862000584602356
2018-04-07 08:19:54,519 INFO Train Epoch 0, Batch 28000 - 29000: RMSE = 0.8318688869476318
2018-04-07 08:20:04,991 INFO Train Epoch 0, Batch 29000 - 30000: RMSE = 0.8448782563209534
2018-04-07 08:20:15,437 INFO Train Epoch 0, Batch 30000 - 31000: RMSE = 0.8997015953063965
2018-04-07 08:20:25,827 INFO Train Epoch 0, Batch 31000 - 32000: RMSE = 0.8352503776550293
2018-04-07 08:20:36,279 INFO Train Epoch 0, Batch 32000 - 33000: RMSE = 0.8367504477500916
2018-04-07 08:20:46,489 INFO Train Epoch 0, Batch 33000 - 34000: RMSE = 0.882087230682373
2018-04-07 08:20:56,682 INFO Train Epoch 0, Batch 34000 - 35000: RMSE = 0.9132965803146362
2018-04-07 08:21:06,869 INFO Train Epoch 0, Batch 35000 - 36000: RMSE = 0.8977013826370239
2018-04-07 08:21:17,162 INFO Train Epoch 0, Batch 36000 - 37000: RMSE = 0.8794148564338684
2018-04-07 08:21:27,424 INFO Train Epoch 0, Batch 37000 - 38000: RMSE = 0.878013551235199
2018-04-07 08:21:37,676 INFO Train Epoch 0, Batch 38000 - 39000: RMSE = 0.9143824577331543
2018-04-07 08:21:47,861 INFO Train Epoch 0, Batch 39000 - 40000: RMSE = 0.9157706499099731
2018-04-07 08:21:58,086 INFO Train Epoch 0, Batch 40000 - 41000: RMSE = 0.9001666903495789
2018-04-07 08:22:08,373 INFO Train Epoch 0, Batch 41000 - 42000: RMSE = 0.9182137846946716
