2018-05-09 10:26:28,454 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_3/model_epoch24.ckpt
2018-05-09 10:26:43,126 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.8313084244728088
2018-05-09 10:26:54,058 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.8445836901664734
2018-05-09 10:27:05,009 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.825107753276825
2018-05-09 10:27:15,952 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.8268272280693054
2018-05-09 10:27:26,867 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.7984679937362671
2018-05-09 10:27:37,892 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.8104331493377686
2018-05-09 10:27:48,834 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.7914782166481018
2018-05-09 10:27:59,650 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.8264245390892029
2018-05-09 10:28:10,530 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.8179425001144409
2018-05-09 10:28:21,580 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.8182085752487183
2018-05-09 10:28:32,503 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.8146457672119141
2018-05-09 10:28:43,412 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.8468174934387207
2018-05-09 10:28:54,250 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.7872530817985535
2018-05-09 10:29:05,169 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.7954950332641602
2018-05-09 10:29:16,251 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.8147070407867432
2018-05-09 10:29:27,159 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.8062161207199097
2018-05-09 10:29:38,041 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.818315327167511
