2018-05-09 13:44:19,195 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_4/model_epoch19.ckpt
2018-05-09 13:44:26,084 INFO Train Epoch 0, Batch 0 - 250: RMSE = 1.0232895612716675
2018-05-09 13:44:26,746 INFO Train Epoch 0, Batch 250 - 500: RMSE = 0.997749924659729
2018-05-09 13:44:27,391 INFO Train Epoch 0, Batch 500 - 750: RMSE = 0.9264384508132935
2018-05-09 13:44:28,030 INFO Train Epoch 0, Batch 750 - 1000: RMSE = 0.9604735970497131
2018-05-09 13:44:28,673 INFO Train Epoch 0, Batch 1000 - 1250: RMSE = 0.9452093243598938
2018-05-09 13:44:29,314 INFO Train Epoch 0, Batch 1250 - 1500: RMSE = 0.9751641750335693
2018-05-09 13:44:29,956 INFO Train Epoch 0, Batch 1500 - 1750: RMSE = 0.9812676906585693
2018-05-09 13:44:30,600 INFO Train Epoch 0, Batch 1750 - 2000: RMSE = 0.9854382872581482
2018-05-09 13:44:31,249 INFO Train Epoch 0, Batch 2000 - 2250: RMSE = 0.9547361731529236
2018-05-09 13:44:31,890 INFO Train Epoch 0, Batch 2250 - 2500: RMSE = 0.9347183108329773
2018-05-09 13:44:32,528 INFO Train Epoch 0, Batch 2500 - 2750: RMSE = 0.8883967995643616
2018-05-09 13:44:33,170 INFO Train Epoch 0, Batch 2750 - 3000: RMSE = 0.9646829962730408
2018-05-09 13:44:33,810 INFO Train Epoch 0, Batch 3000 - 3250: RMSE = 0.9417440891265869
2018-05-09 13:44:34,455 INFO Train Epoch 0, Batch 3250 - 3500: RMSE = 0.8692044019699097
2018-05-09 13:44:35,095 INFO Train Epoch 0, Batch 3500 - 3750: RMSE = 0.9734129309654236
2018-05-09 13:44:35,738 INFO Train Epoch 0, Batch 3750 - 4000: RMSE = 1.068197250366211
2018-05-09 13:44:36,383 INFO Train Epoch 0, Batch 4000 - 4250: RMSE = 0.9460600018501282
2018-05-09 13:44:37,023 INFO Train Epoch 0, Batch 4250 - 4500: RMSE = 0.9297395348548889
2018-05-09 13:44:37,665 INFO Train Epoch 0, Batch 4500 - 4750: RMSE = 0.9520132541656494
